COQ2	NM_001358921
COQ3	NM_017421
COQ5	NM_032314
COQ7	NM_001190983
CORO1A	NM_001193333
CORO1C	NM_001105237
CORO2B	NM_001190456
COTL1	NM_021149
COX10	NM_001303
COX16	NM_001204090
COX17	NM_005694
COX18	NM_001297732
COX19	NM_001031617
COX5A	NM_004255
COX5B	NM_001862
COX6A1	NM_004373
COX6B1	NM_001863
COX7A2	NM_001865
COX7A2L	NM_001319036
COX7C	NM_001867
CPD	NM_001199775
CPE	NM_001873
CPEB1	NM_001079533
CPEB2	NM_001177381
CPEB4	NM_001308189
CPNE1	NM_001198863
CPNE2	NM_152727
CPNE3	NM_003909
CPNE8	NM_153634
CPOX	NM_000097
CPPED1	NM_001099455
CPSF1	NM_013291
CPSF3	NM_001321833
CPSF6	NM_001300947
CPT1B	NM_001145134
CPVL	NM_019029
CR2	NM_001006658
CRADD	NM_001320099
CRAMP1	NM_020825
CRCP	NM_001040647
CREB1	NM_001320793
CREB3L2	NM_001253775
CREBL2	NM_001310
CREG1	NM_003851
CREM	NM_001267562
CRISP2	NM_001142407
CRISP3	NM_001190986
CRISPLD1	NM_001286777
CRISPLD2	NM_031476
CRK	NM_005206
CRLF3	NM_015986
CRTAC1	NM_001206528
CRTAP	NM_006371
CRTC3	NM_001042574
CRY1	NM_004075
CRY2	NM_001127457
CRYL1	NM_015974
CSDC2	NM_014460
CSE1L	NM_001256135
CSF1	NM_000757
CSF3	NM_000759
CSGALNACT2	NM_001319654
CSK	NM_001127190
CSNK1A1	NM_001025105
CSNK1D	NM_001893
CSNK1E	NM_001894
CSNK1G1	NM_001329606
CSNK1G3	NM_001031812
CSNK2A1	NM_001895
CSRNP1	NM_001320559
CSRP2	NM_001300965
CST3	NM_000099
CSTB	NM_000100
CSTF3	NM_001033505
CT62	NM_001102658
CTDP1	NM_001202504
CTDSP2	NM_005730
CTDSPL2	NM_016396
CTGF	NM_001901
CTH	NM_001190463
CTNNB1	NM_001098209
CTNNBIP1	NM_001012329
CTNNBL1	NM_001281495
CTNND1	NM_001085458
CTR9	NM_014633
CTSB	NM_001317237
CTSC	NM_001114173
CTSH	NM_001319137
CTSO	NM_001334
CTTN	NM_001184740
CTTNBP2	NM_033427
CTTNBP2NL	NM_018704
CTU1	NM_145232
CTXN2	NM_001145668
CUL1	NM_003592
CUL2	NM_001198777
CUL3	NM_001257197
CWC22	NM_020943
CWF19L1	NM_001303404
CWF19L2	NM_152434
CXADR	NM_001207063
CXCL2	NM_002089
CXCL3	NM_002090
CXCR2	NM_001168298
CXCR4	NM_001008540
CXXC5	NM_001317199
CYB5A	NM_001190807
CYB5B	NM_030579
CYB5R1	NM_016243
CYB5R3	NM_000398
CYB5R4	NM_016230
CYBRD1	NM_001127383
CYCS	NM_018947
CYLD	NM_001042355
CYP26A1	NM_000783
CYP2J2	NM_000775
CYP2S1	NM_030622
CYP2U1	NM_183075
CYP4F3	NM_000896
CYP4V2	NM_207352
CYP4X1	NM_001320289
CYR61	NM_001554
CYTH2	NM_004228
D2HGDH	NM_001287249
DAAM1	NM_001270520
DACH1	NM_004392
DAD1	NM_001344
DAGLA	NM_006133
DAGLB	NM_001142936
DAP	NM_001291963
DAPK2	NM_014326
DARS	NM_001293312
DAZAP1	NM_001352033
DBF4B	NM_025104
DBR1	NM_016216
DBT	NM_001918
DCAF10	NM_001286810
DCAF11	NM_001163484
DCAF12	NM_015397
DCAF4	NM_001163508
DCAF5	NM_001284206
DCK	NM_000788
DCLK1	NM_001195415
DCLRE1C	NM_001033855
DCP1A	NM_001290204
DCP1B	NM_001319292
DCPS	NM_014026
DCTD	NM_001012732
DCTN4	NM_001135643
DCTN6	NM_006571
DCTPP1	NM_024096
DCUN1D1	NM_001308101
DCUN1D4	NM_001040402
DCUN1D5	NM_001318739
DDHD1	NM_001160147
DDI2	NM_032341
DDIT4	NM_019058
DDN	NM_015086
DDR1	NM_001202521
DDRGK1	NM_023935
DDX1	NM_004939
DDX10	NM_004398
DDX11	NM_001257144
DDX18	NM_006773
DDX19A	NM_001320522
DDX19B	NM_001014449
DDX21	NM_001256910
DDX46	NM_001300860
DDX47	NM_016355
DDX50	NM_024045
DDX52	NM_001291476
DDX59	NM_001031725
DDX6	NM_001257191
DDX60	NM_017631
DDX60L	NM_001012967
DECR2	NM_020664
DEDD2	NM_001270614
DEGS1	NM_001321541
DENND1B	NM_001195215
DENND3	NM_001352890
DENND4A	NM_001144823
DENND5A	NM_001243254
DENND5B	NM_001308339
DENR	NM_003677
DEPDC1	NM_001114120
DEPDC1B	NM_001145208
DEPDC5	NM_001007188
DEPDC7	NM_001077242
DERA	NM_001300779
DERL1	NM_001134671
DET1	NM_001144074
DEXI	NM_014015
DFFA	NM_004401
DGAT2	NM_001253891
DGCR2	NM_001173533
DGCR6L	NM_033257
DGKD	NM_003648
DGKE	NM_003647
DGKH	NM_001204504
DGUOK	NM_001318859
DHCR24	NM_014762
DHCR7	NM_001163817
DHDH	NM_014475
DHODH	NM_001361
DHRS12	NM_001031719
DHRS3	NM_001319225
DHRS7	NM_001322280
DHRS7B	NM_015510
DHTKD1	NM_018706
DHX15	NM_001358
DHX33	NM_001199699
DHX34	NM_014681
DHX35	NM_001190809
DHX36	NM_001114397
DHX37	NM_032656
